"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880000,0,0,0,0,2350000,0,0,940000,0,0,470000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290000,0,0,100110000,0,0,0,0,53110000,0,0,4700000,0,0,0,0,0,0,0,0,0,0,0,0,0,1880000,0,0,940000,0,0,0,0,0,27730000,0,0,0,0,0,940000,0,0,0,0,0,0,0,0,0,0,0,2820000,12220000,0,0,0,0,0,0,0,0,0,0,0,2350000,0,58280000,0,0,902870000,0,0,0,0,0,0,0,119380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110920000,0,1880000,1410000,0,0,0,0,0,0,0,196930000,0,940000,0,0,0,0,0,0,0,0,0,12220000,0,19270000,0,0,0,0,0,0,0,0,0,1410000,0,0,0,0,0,0
"AUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760000,0,0,0,0,0,0,0,0,0,470000,0,0,0,0,0,0,0,0,0,5170000,0,0,0,0,0,0,0,3290000,0,0,0,101990000,0,0,0,0,0,136770000,7990000,0,0,0,0,0,0,0,0,0,0,0,4230000,9400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470000,0,7050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11280000,0,0,0,0,470000,0,0,0,1410000,0,0,11750000,0,0,0,0,0,31490000,0,0,0,0,0,34780000,0,35720000,0,0,0,0,0,0,0,0,200220000,5170000,0,0,0,1410000,0,0,0,2350000,33840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266960000,7520000,940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
